myanmar,mlcts,syllable_count,myanmar_syllables,mlcts_syllables
ပါရစေ,para.ce,3,ပါ|ရ|စေ,pa|ra.|ce
ပါရမီ,para.mi,3,ပါ|ရ|မီ,pa|ra.|mi
ပါရမီဆယ်ပါး,para.mihcaipa:,5,ပါ|ရ|မီ|ဆယ်|ပါး,pa|ra.|mi|hcai|pa:
ပါရမီဖြည့်,para.mihprany.,4,ပါ|ရ|မီ|ဖြည့်,pa|ra.|mi|hprany.
ပါရရာ,para.ra,3,ပါ|ရ|ရာ,pa|ra.|ra
ပါလဒုတ္ထာ,pala.du.hta,4,ပါ|လ|ဒုတ်|ထာ,pa|la.|dut|hta
ပါလစ်,palac,2,ပါ|လစ်,pa|lac
ပါလီမန်,paliman,3,ပါ|လီ|မန်,pa|li|man
ပါလေကာ,paleka,3,ပါ|လေ|ကာ,pa|le|ka
ပါလေရာ,palera,3,ပါ|လေ|ရာ,pa|le|ra
ပါဝါ,pawa,2,ပါ|ဝါ,pa|wa
ပါဠိ,pali.,2,ပါ|ဠိ,pa|li.
ပါဠိတော်,pali.tau,3,ပါ|ဠိ|တော်,pa|li.|tau
ပါဠိသက်,pali.sak,3,ပါ|ဠိ|သက်,pa|li.|sak
ပါဌ်ဆင့်,pakhcang.,2,ပါဌ်|ဆင့်,pak|hcang.
ပါဌ်ပျက်,pakpyak,2,ပါဌ်|ပျက်,pak|pyak
ပါဌ်လျှောက်,pakhlyauk,2,ပါဌ်|လျှောက်,pak|hlyauk
ပါးကန့်,pa:kan.,2,ပါး|ကန့်,pa:|kan.
ပါးကျိတ်,pa:kyit,2,ပါး|ကျိတ်,pa:|kyit
ပါးကွက်,pa:kwak,2,ပါး|ကွက်,pa:|kwak
ပါးချပ်,pa:hkyap,2,ပါး|ချပ်,pa:|hkyap
ပါးချိတ်,pa:hkyit,2,ပါး|ချိတ်,pa:|hkyit
ပါးချိတ်ရောင်နာ,pa:hkyitraungna,4,ပါး|ချိတ်|ရောင်|နာ,pa:|hkyit|raung|na
ပါးချိုင့်,pa:hkyuing.,2,ပါး|ချိုင့်,pa:|hkyuing.
ပါးချုပ်,pa:hkyup,2,ပါး|ချုပ်,pa:|hkyup
ပါးချောင်ကျ,pa:hkyaungkya.,3,ပါး|ချောင်|ကျ,pa:|hkyaung|kya.
ပါးစပ်,pa:cap,2,ပါး|စပ်,pa:|cap
ပါးစပ်ကြမ်း,pa:capkram:,3,ပါး|စပ်|ကြမ်း,pa:|cap|kram:
ပါးစပ်ဆော့,pa:caphcau.,3,ပါး|စပ်|ဆော့,pa:|cap|hcau.
ပါးစပ်ပုပ်,pa:cappup,3,ပါး|စပ်|ပုပ်,pa:|cap|pup
ပါးစပ်ဖွာ,pa:caphpwa,3,ပါး|စပ်|ဖွာ,pa:|cap|hpwa
ပါးစပ်ယား,pa:capya:,3,ပါး|စပ်|ယား,pa:|cap|ya:
ပါးစပ်ရာဇဝင်,pa:capraja.wang,5,ပါး|စပ်|ရာ|ဇ|ဝင်,pa:|cap|ra|ja.|wang
ပါးစပ်သတင်း,pa:capsa.tang:,4,ပါး|စပ်|သ|တင်း,pa:|cap|sa.|tang:
ပါးစုန့်,pa:cun.,2,ပါး|စုန့်,pa:|cun.
ပါးစောင်,pa:caung,2,ပါး|စောင်,pa:|caung
ပါးတေ့နားတေ့,pa:te.na:te.,4,ပါး|တေ့|နား|တေ့,pa:|te.|na:|te.
ပါးနပ်,pa:nap,2,ပါး|နပ်,pa:|nap
ပါးပုတ်,pa:put,2,ပါး|ပုတ်,pa:|put
ပါးပျဉ်း,pa:pyany:,2,ပါး|ပျဉ်း,pa:|pyany:
ပါးမို့,pa:mui.,2,ပါး|မို့,pa:|mui.
ပါးမုန်းမွေး,pa:mun:mwe:,3,ပါး|မုန်း|မွေး,pa:|mun:|mwe:
ပါးမြိုင်းမွေး,pa:mruing:mwe:,3,ပါး|မြိုင်း|မွေး,pa:|mruing:|mwe:
ပါးရည်နပ်ရည်,pa:ranynaprany,4,ပါး|ရည်|နပ်|ရည်,pa:|rany|nap|rany
ပါးရဲထိုး,pa:rai:htui:,3,ပါး|ရဲ|ထိုး,pa:|rai:|htui:
ပါးရှား,pa:hra:,2,ပါး|ရှား,pa:|hra:
ပါးလျား,pa:lya:,2,ပါး|လျား,pa:|lya:
ပါးလျား,pa:lya:,2,ပါး|လျား,pa:|lya:
ပါးလျှပ်,pa:hlyap,2,ပါး|လျှပ်,pa:|hlyap
ပါးလျှပ်,pa:hlyap,2,ပါး|လျှပ်,pa:|hlyap
ပါးလွှာ,pa:hlwa,2,ပါး|လွှာ,pa:|hlwa
ပါးလှပ်,pa:hlap,2,ပါး|လှပ်,pa:|hlap
ပါးသက်နာ,pa:sakna,3,ပါး|သက်|နာ,pa:|sak|na
ပါးသိုင်းမွေး,pa:suing:mwe:,3,ပါး|သိုင်း|မွေး,pa:|suing:|mwe:
ပါးသွယ်,pa:swai,2,ပါး|သွယ်,pa:|swai
ပါးဟက်,pa:hak,2,ပါး|ဟက်,pa:|hak
ပါးအို့,pa:ui.,2,ပါး|အို့,pa:|ui.
ပိစပ်,pi.cap,2,ပိ|စပ်,pi.|cap
ပိစိကွေး,pi.ci.kwe:,3,ပိ|စိ|ကွေး,pi.|ci.|kwe:
ပိဋက,pi.ta.ka.,3,ပိ|ဋ|က,pi.|ta.|ka.
ပိဋကတ်,pi.ta.kat,3,ပိ|ဋ|ကတ်,pi.|ta.|kat
ပိဋကတ်တိုက်,pi.ta.kattuik,4,ပိ|ဋ|ကတ်|တိုက်,pi.|ta.|kat|tuik
ပိဋကတ်အိုး,pi.ta.katui:,4,ပိ|ဋ|ကတ်|အိုး,pi.|ta.|kat|ui:
ပိဋကတ်အိုးကွဲ,pi.ta.katui:kwai:,5,ပိ|ဋ|ကတ်|အိုး|ကွဲ,pi.|ta.|kat|ui:|kwai:
ပိတာန်,pi.tan,2,ပိ|တာန်,pi.|tan
ပိတုန်း,pi.tun:,2,ပိ|တုန်း,pi.|tun:
ပိတုန်းရောင်,pi.tun:raung,3,ပိ|တုန်း|ရောင်,pi.|tun:|raung
ပိတောက်,pi.tauk,2,ပိ|တောက်,pi.|tauk
ပိပြား,pi.pra:,2,ပိ|ပြား,pi.|pra:
ပိရမစ်,pi.ra.mac,3,ပိ|ရ|မစ်,pi.|ra.|mac
ပိရိ,pi.ri.,2,ပိ|ရိ,pi.|ri.
ပိဿာ,pi.sa,2,ပိ|ဿာ,pi.|sa
ပိဏ္ဍပါတ်ဆွမ်း,pi.da.pathcwam:,4,ပိဏ်|ဍ|ပါတ်|ဆွမ်း,pi.|da.|pat|hcwam:
ပိဏ္ဍပါတ်ဓူတင်,pi.da.patdhutang,5,ပိဏ်|ဍ|ပါတ်|ဓူ|တင်,pi.|da.|pat|dhu|tang
ပိဏ္ဍတ္ထ,pi.da.hta.,3,ပိဏ်|ဍတ်|ထ,pi.|dat|hta.
ပိတ်ကွယ်,pitkwai,2,ပိတ်|ကွယ်,pit|kwai
ပိတ်ချင်း,pithkyang:,2,ပိတ်|ချင်း,pit|hkyang:
ပိတ်စိမ်းပါး,pitcim:pa:,3,ပိတ်|စိမ်း|ပါး,pit|cim:|pa:
ပိတ်စွယ်,pitcwai,2,ပိတ်|စွယ်,pit|cwai
ပိတ်ဆို့,pithcui.,2,ပိတ်|ဆို့,pit|hcui.
ပိတ်တကျည်,pitta.kyany,3,ပိတ်|တ|ကျည်,pit|ta.|kyany
ပိတ်တွန့်,pittwan.,2,ပိတ်|တွန့်,pit|twan.
ပိတ်ပင်,pitpang,2,ပိတ်|ပင်,pit|pang
ပိတ်ပိတ်သား,pitpitsa:,3,ပိတ်|ပိတ်|သား,pit|pit|sa:
ပိတ်ပေါင်း,pitpaung:,2,ပိတ်|ပေါင်း,pit|paung:
ပိတ်ဝမ်း,pitwam:,2,ပိတ်|ဝမ်း,pit|wam:
ပိတ်သင်းခတ်,pitsang:hkat,3,ပိတ်|သင်း|ခတ်,pit|sang:|hkat
ပိန်ကပ်,pinkap,2,ပိန်|ကပ်,pin|kap
ပိန်ချည့်,pinhkyany.,2,ပိန်|ချည့်,pin|hkyany.
ပိန်ညင်း,pinnyang:,2,ပိန်|ညင်း,pin|nyang:
ပိန်ညှော်,pinhnyau,2,ပိန်|ညှော်,pin|hnyau
ပိန္နဲ,pi.nai:,2,ပိန်|နဲ,pin|nai:
ပိန္နဲကွင်း,pi.nai:kwang:,3,ပိန်|နဲ|ကွင်း,pin|nai:|kwang:
ပိန္နဲဆိုး,pi.nai:hcui:,3,ပိန်|နဲ|ဆိုး,pin|nai:|hcui:
ပိန္နဲတိုင်,pi.nai:tuing,3,ပိန်|နဲ|တိုင်,pin|nai:|tuing
ပိန္နဲပျဉ်,pi.nai:pyany,3,ပိန်|နဲ|ပျဉ်,pin|nai:|pyany
ပိန္နဲရောင်,pi.nai:raung,3,ပိန်|နဲ|ရောင်,pin|nai:|raung
ပိန်မသာလိမ်မသာ,pinma.salimma.sa,6,ပိန်|မ|သာ|လိမ်|မ|သာ,pin|ma.|sa|lim|ma.|sa
ပိန်ရှုံ့,pinhrum.,2,ပိန်|ရှုံ့,pin|hrum.
ပိန်းကော,pin:kau:,2,ပိန်း|ကော,pin:|kau:
ပိန်းကောမ,pin:kau:ma.,3,ပိန်း|ကော|မ,pin:|kau:|ma.
ပိန်းကျား,pin:kya:,2,ပိန်း|ကျား,pin:|kya:
ပိန်းကျား,pin:kya:,2,ပိန်း|ကျား,pin:|kya:
ပိန်းကျားရိုက်,pin:kya:ruik,3,ပိန်း|ကျား|ရိုက်,pin:|kya:|ruik
ပိန်းကျားရိုက်,pin:kya:ruik,3,ပိန်း|ကျား|ရိုက်,pin:|kya:|ruik
ပိန်းတန်းဖိနပ်,pin:tan:hpi.nap,4,ပိန်း|တန်း|ဖိ|နပ်,pin:|tan:|hpi.|nap
ပိန်းပန်း,pin:pan:,2,ပိန်း|ပန်း,pin:|pan:
ပိန်းပိတ်,pin:pit,2,ပိန်း|ပိတ်,pin:|pit
ပိန်းပြဲကိုယ်ရောင်,pin:prai:kuiraung,4,ပိန်း|ပြဲ|ကိုယ်|ရောင်,pin:|prai:|kui|raung
ပိန်းရိုက်,pin:ruik,2,ပိန်း|ရိုက်,pin:|ruik
ပိန်းဥ,pin:u.,2,ပိန်း|ဥ,pin:|u.
ပိုကာ,puika,2,ပို|ကာ,pui|ka
ပိုစတာ,puica.ta,3,ပို|စ|တာ,pui|ca.|ta
ပိုစွန်း,puicwan:,2,ပို|စွန်း,pui|cwan:
ပိုတက်,puitak,2,ပို|တက်,pui|tak
ပိုပစ်,puipac,2,ပို|ပစ်,pui|pac
ပိုမို,puimui,2,ပို|မို,pui|mui
ပိုလို,puilui,2,ပို|လို,pui|lui
ပိုလီယို,puiliyui,3,ပို|လီ|ယို,pui|li|yui
ပိုလျှံ,puihlyam,2,ပို|လျှံ,pui|hlyam
ပိုလွန်,puilwan,2,ပို|လွန်,pui|lwan
ပိုသွား,puiswa:,2,ပို|သွား,pui|swa:
ပိုက်ကနား,puikka.na:,3,ပိုက်|က|နား,puik|ka.|na:
ပိုက်ကား,puikka:,2,ပိုက်|ကား,puik|ka:
ပိုက်ကျူး,puikkyu:,2,ပိုက်|ကျူး,puik|kyu:
ပိုက်ကွက်,puikkwak,2,ပိုက်|ကွက်,puik|kwak
ပိုက်ကွန်,puikkwan,2,ပိုက်|ကွန်,puik|kwan
ပိုက်ချ,puikhkya.,2,ပိုက်|ချ,puik|hkya.
ပိုက်ခြေတို,puikhkretui,3,ပိုက်|ခြေ|တို,puik|hkre|tui
ပိုက်စိပ်တိုက်,puikcip'tuik,3,ပိုက်|စိပ်|တိုက်,puik|cip'|tuik
ပိုက်ဆန်,puikhcan,2,ပိုက်|ဆန်,puik|hcan
ပိုက်ဆန်လျှော်,puikhcanhlyau,3,ပိုက်|ဆန်|လျှော်,puik|hcan|hlyau
ပိုက်ဆံ,puikhcam,2,ပိုက်|ဆံ,puik|hcam
ပိုက်ထိုး,puikhtui:,2,ပိုက်|ထိုး,puik|htui:
ပိုက်ထုပ်,puikhtup,2,ပိုက်|ထုပ်,puik|htup
ပိုက်ဓမင်း,puikdha.mang:,3,ပိုက်|ဓ|မင်း,puik|dha.|mang:
ပိုက်ဗဝန်း,puikba.wan:,3,ပိုက်|ဗ|ဝန်း,puik|ba.|wan:
ပိုက်မင်းသား,puikmang:sa:,3,ပိုက်|မင်း|သား,puik|mang:|sa:
ပိုက်လင်းကွင်း,puiklang:kwang:,3,ပိုက်|လင်း|ကွင်း,puik|lang:|kwang:
ပိုက်လုံး,puiklum:,2,ပိုက်|လုံး,puik|lum:
ပိုက်ဝမ်းပူ,puikwam:pu,3,ပိုက်|ဝမ်း|ပူ,puik|wam:|pu
ပိုက်သမား,puiksa.ma:,3,ပိုက်|သ|မား,puik|sa.|ma:
ပိုင်စိုးပိုင်နင်း,puingcui:puingnang:,4,ပိုင်|စိုး|ပိုင်|နင်း,puing|cui:|puing|nang:
ပိုင်စေ့,puingce.,2,ပိုင်|စေ့,puing|ce.
ပိုင်ဆိုင်,puinghcuing,2,ပိုင်|ဆိုင်,puing|hcuing
ပိုင်ဆိုင်ခွင့်,puinghcuinghkwang.,3,ပိုင်|ဆိုင်|ခွင့်,puing|hcuing|hkwang.
ပိုင်နက်,puingnak,2,ပိုင်|နက်,puing|nak
ပိုင်နိုင်,puingnuing,2,ပိုင်|နိုင်,puing|nuing
ပိုင်ရှင်,puinghrang,2,ပိုင်|ရှင်,puing|hrang
ပိုင်းခြား,puing:hkra:,2,ပိုင်း|ခြား,puing:|hkra:
ပိုင်းခြေ,puing:hkre,2,ပိုင်း|ခြေ,puing:|hkre
ပိုင်းတန်း,puing:tan:,2,ပိုင်း|တန်း,puing:|tan:
ပိုင်းဖြတ်,puing:hprat,2,ပိုင်း|ဖြတ်,puing:|hprat
ပိုင်းလုံး,puing:lum:,2,ပိုင်း|လုံး,puing:|lum:
ပိုင်းဝေ,puing:we,2,ပိုင်း|ဝေ,puing:|we
ပိုဒ်စုံရတု,puicumra.tu.,4,ပိုဒ်|စုံ|ရ|တု,pui|cum|ra.|tu.
ပို့ချ,pui.hkya.,2,ပို့|ချ,pui.|hkya.
ပို့စကတ်,pui.ca.kat,3,ပို့|စ|ကတ်,pui.|ca.|kat
ပို့ဆောင်,pui.hcaung,2,ပို့|ဆောင်,pui.|hcaung
ပို့သ,pui.sa.,2,ပို့|သ,pui.|sa.
ပိုးကရင်,pui:ka.rang,3,ပိုး|က|ရင်,pui:|ka.|rang
ပိုးကောင်,pui:kaung,2,ပိုး|ကောင်,pui:|kaung
ပိုးကောင်ကြော်,pui:kaungkrau,3,ပိုး|ကောင်|ကြော်,pui:|kaung|krau
ပိုးကျ,pui:kya.,2,ပိုး|ကျ,pui:|kya.
ပိုးကြေးပန်းကြေး,pui:kre:pan:kre:,4,ပိုး|ကြေး|ပန်း|ကြေး,pui:|kre:|pan:|kre:
ပိုးချ,pui:hkya.,2,ပိုး|ချ,pui:|hkya.
ပိုးချင်းမ,pui:hkyang:ma.,3,ပိုး|ချင်း|မ,pui:|hkyang:|ma.
ပိုးစပ်ကောင်,pui:capkaung,3,ပိုး|စပ်|ကောင်,pui:|cap|kaung
ပိုးစာ,pui:ca,2,ပိုး|စာ,pui:|ca
ပိုးစား,pui:ca:,2,ပိုး|စား,pui:|ca:
ပိုးစိမ်းကောင်,pui:cim:kaung,3,ပိုး|စိမ်း|ကောင်,pui:|cim:|kaung
ပိုးစိုးပက်စက်,pui:cui:pakcak,4,ပိုး|စိုး|ပက်|စက်,pui:|cui:|pak|cak
ပိုးစုန်းကြူး,pui:cun:kru:,3,ပိုး|စုန်း|ကြူး,pui:|cun:|kru:
ပိုးစေးနှဲ,pui:ce:hnai:,3,ပိုး|စေး|နှဲ,pui:|ce:|hnai:
ပိုးဇောက်ထိုး,pui:jaukhtui:,3,ပိုး|ဇောက်|ထိုး,pui:|jauk|htui:
ပိုးတီ,pui:ti,2,ပိုး|တီ,pui:|ti
ပိုးတုံးလုံး,pui:tum:lum:,3,ပိုး|တုံး|လုံး,pui:|tum:|lum:
ပိုးတောက်,pui:tauk,2,ပိုး|တောက်,pui:|tauk
ပိုးတောင့်တဲ,pui:taung.tai:,3,ပိုး|တောင့်|တဲ,pui:|taung.|tai:
ပိုးတောင်မာ,pui:taungma,3,ပိုး|တောင်|မာ,pui:|taung|ma
ပိုးထိ,pui:hti.,2,ပိုး|ထိ,pui:|hti.
ပိုးထိုး,pui:htui:,2,ပိုး|ထိုး,pui:|htui:
ပိုးထိုးလောက်ကိုက်,pui:htui:laukkuik,4,ပိုး|ထိုး|လောက်|ကိုက်,pui:|htui:|lauk|kuik
ပိုးထွေး,pui:htwe:,2,ပိုး|ထွေး,pui:|htwe:
ပိုးနဂါး,pui:na.ga:,3,ပိုး|န|ဂါး,pui:|na.|ga:
ပိုးနားသန်,pui:na:san,3,ပိုး|နား|သန်,pui:|na:|san
ပိုးနံကောင်,pui:namkaung,3,ပိုး|နံ|ကောင်,pui:|nam|kaung
ပိုးပရန်,pui:pa.ran,3,ပိုး|ပ|ရန်,pui:|pa.|ran
ပိုးပန်း,pui:pan:,2,ပိုး|ပန်း,pui:|pan:
ပိုးဖလံ,pui:hpa.lam,3,ပိုး|ဖ|လံ,pui:|hpa.|lam
ပိုးဖျင်,pui:hpyang,2,ပိုး|ဖျင်,pui:|hpyang
ပိုးမမည်,pui:ma.many,3,ပိုး|မ|မည်,pui:|ma.|many
ပိုးမည်းတောင်စာ,pui:many:taungca,4,ပိုး|မည်း|တောင်|စာ,pui:|many:|taung|ca
ပိုးမျိုးရှစ်ဆယ်,pui:myui:hrachcai,4,ပိုး|မျိုး|ရှစ်|ဆယ်,pui:|myui:|hrac|hcai
ပိုးမြည်မြူး,pui:mranymru:,3,ပိုး|မြည်|မြူး,pui:|mrany|mru:
ပိုးမွေးစုတ်,pui:mwe:cut,3,ပိုး|မွေး|စုတ်,pui:|mwe:|cut
ပိုးရုပ်ဖုံး,pui:ruphpum:,3,ပိုး|ရုပ်|ဖုံး,pui:|rup|hpum:
ပိုးလိုးပက်လက်,pui:lui:paklak,4,ပိုး|လိုး|ပက်|လက်,pui:|lui:|pak|lak
ပိုးလောက်လမ်း,pui:lauklam:,3,ပိုး|လောက်|လမ်း,pui:|lauk|lam:
ပိုးလောင်မီး,pui:laungmi:,3,ပိုး|လောင်|မီး,pui:|laung|mi:
ပိုးလောင်း,pui:laung:,2,ပိုး|လောင်း,pui:|laung:
ပိုးလွှ,pui:hlwa.,2,ပိုး|လွှ,pui:|hlwa.
ပိုးသတ်ဆေး,pui:sathce:,3,ပိုး|သတ်|ဆေး,pui:|sat|hce:
ပိုးဟပ်,pui:hap,2,ပိုး|ဟပ်,pui:|hap
ပိုးဟပ်ဖြူ,pui:haphpru,3,ပိုး|ဟပ်|ဖြူ,pui:|hap|hpru
ပိုးအရိုးကောင်,pui:a.rui:kaung,4,ပိုး|အ|ရိုး|ကောင်,pui:|a.|rui:|kaung
ပိုးအိမ်,pui:im,2,ပိုး|အိမ်,pui:|im
ပီဆို,pihcui,2,ပီ|ဆို,pi|hcui
ပီတိ,piti.,2,ပီ|တိ,pi|ti.
ပီတိဖြစ်,piti.hprac,3,ပီ|တိ|ဖြစ်,pi|ti.|hprac
ပီပါ,pipa,2,ပီ|ပါ,pi|pa
ပီပီ,pipi,2,ပီ|ပီ,pi|pi
ပီပီ,pipi,2,ပီ|ပီ,pi|pi
ပီပီပြင်ပြင်,pipiprangprang,4,ပီ|ပီ|ပြင်|ပြင်,pi|pi|prang|prang
ပီပီသား,pipisa:,3,ပီ|ပီ|သား,pi|pi|sa:
ပီယဆေး,piya.hce:,3,ပီ|ယ|ဆေး,pi|ya.|hce:
ပီယဝါစာ,piya.waca,4,ပီ|ယ|ဝါ|စာ,pi|ya.|wa|ca
ပီလမ,pila.ma.,3,ပီ|လ|မ,pi|la.|ma.
ပီလား,pila:,2,ပီ|လား,pi|la:
ပီလားကြိုး,pila:krui:,3,ပီ|လား|ကြိုး,pi|la:|krui:
ပီလော,pilau:,2,ပီ|လော,pi|lau:
ပီလောပီနံ,pilau:pinam,4,ပီ|လော|ပီ|နံ,pi|lau:|pi|nam
ပီသ,pisa.,2,ပီ|သ,pi|sa.
ပုကွ,pu.kwa.,2,ပု|ကွ,pu.|kwa.
ပုခက်,pu.hkak,2,ပု|ခက်,pu.|hkak
ပုခက်တွင်းအရွယ်,pu.hkaktwang:a.rwai,5,ပု|ခက်|တွင်း|အ|ရွယ်,pu.|hkak|twang:|a.|rwai
ပုစဉ်း,pu.cany:,2,ပု|စဉ်း,pu.|cany:
ပုစဉ်းကြီး,pu.cany:kri:,3,ပု|စဉ်း|ကြီး,pu.|cany:|kri:
ပုစဉ်းတောင်သံကြိုး,pu.cany:taungsamkrui:,5,ပု|စဉ်း|တောင်|သံ|ကြိုး,pu.|cany:|taung|sam|krui:
ပုစဉ်းထိုး,pu.cany:htui:,3,ပု|စဉ်း|ထိုး,pu.|cany:|htui:
ပုစဉ်းရင်ကွဲ,pu.cany:rangkwai:,4,ပု|စဉ်း|ရင်|ကွဲ,pu.|cany:|rang|kwai:
ပုစုခရု,pu.cu.hka.ru.,4,ပု|စု|ခ|ရု,pu.|cu.|hka.|ru.
ပုစွန်,pu.cwan,2,ပု|စွန်,pu.|cwan
ပုစွန်ကျား,pu.cwankya:,3,ပု|စွန်|ကျား,pu.|cwan|kya:
ပုစွန်ကျော့,pu.cwankyau.,3,ပု|စွန်|ကျော့,pu.|cwan|kyau.
ပုစွန်ချဉ်,pu.cwanhkyany,3,ပု|စွန်|ချဉ်,pu.|cwan|hkyany
ပုစွန်ခြေကြွေ,pu.cwanhkrekrwe,4,ပု|စွန်|ခြေ|ကြွေ,pu.|cwan|hkre|krwe
ပုစွန်ခြောက်,pu.cwanhkrauk,3,ပု|စွန်|ခြောက်,pu.|cwan|hkrauk
ပုစွန်ငါးပိ,pu.cwannga:pi.,4,ပု|စွန်|ငါး|ပိ,pu.|cwan|nga:|pi.
ပုစွန်စာ,pu.cwanca,3,ပု|စွန်|စာ,pu.|cwan|ca
ပုစွန်ဆိတ်,pu.cwanhcit,3,ပု|စွန်|ဆိတ်,pu.|cwan|hcit
ပုစွန်ဆီ,pu.cwanhci,3,ပု|စွန်|ဆီ,pu.|cwan|hci
ပုစွန်တာရာ,pu.cwantara,4,ပု|စွန်|တာ|ရာ,pu.|cwan|ta|ra
ပုစွန်တုပ်,pu.cwantup,3,ပု|စွန်|တုပ်,pu.|cwan|tup
ပုစွန်တုပ်ကွေး,pu.cwantupkwe:,4,ပု|စွန်|တုပ်|ကွေး,pu.|cwan|tup|kwe:
ပုစွန်ဖောင်,pu.cwanhpaung,3,ပု|စွန်|ဖောင်,pu.|cwan|hpaung
ပုစွန်ဖွဲ,pu.cwanhpwai:,3,ပု|စွန်|ဖွဲ,pu.|cwan|hpwai:
ပုစွန်လက်မစည်,pu.cwanlakma.cany,5,ပု|စွန်|လက်|မ|စည်,pu.|cwan|lak|ma.|cany
ပုစွန်လုံး,pu.cwanlum:,3,ပု|စွန်|လုံး,pu.|cwan|lum:
ပုဆစ်,pu.hcac,2,ပု|ဆစ်,pu.|hcac
ပုဆစ်တုပ်,pu.hcactup,3,ပု|ဆစ်|တုပ်,pu.|hcac|tup
ပုဆိန်,pu.hcin,2,ပု|ဆိန်,pu.|hcin
ပုဆိန်ရိုး,pu.hcinrui:,3,ပု|ဆိန်|ရိုး,pu.|hcin|rui:
ပုဆိုး,pu.hcui:,2,ပု|ဆိုး,pu.|hcui:
ပုဆိုးကြမ်း,pu.hcui:kram:,3,ပု|ဆိုး|ကြမ်း,pu.|hcui:|kram:
ပုဆိုးတန်းတင်,pu.hcui:tan:tang,4,ပု|ဆိုး|တန်း|တင်,pu.|hcui:|tan:|tang
ပုဆိုးတန်းတင်အကြင်လင်မယား,pu.hcui:tan:tanga.kranglangma.ya:,9,ပု|ဆိုး|တန်း|တင်|အ|ကြင်|လင်|မ|ယား,pu.|hcui:|tan:|tang|a.|krang|lang|ma.|ya:
ပုဆိုးအိတ်ထောင့်,pu.hcui:ithtaung.,4,ပု|ဆိုး|အိတ်|ထောင့်,pu.|hcui:|it|htaung.
ပုည,pu.nya.,2,ပု|ည,pu.|nya.
ပုညှက်,pu.hnyak,2,ပု|ညှက်,pu.|hnyak
ပုတတ်,pu.tat,2,ပု|တတ်,pu.|tat
ပုတတ်စာ,pu.tatca,3,ပု|တတ်|စာ,pu.|tat|ca
ပုတို,pu.tui,2,ပု|တို,pu.|tui
ပုတီး,pu.ti:,2,ပု|တီး,pu.|ti:
ပုတီးစိပ်,pu.ti:cip',3,ပု|တီး|စိပ်,pu.|ti:|cip'
ပုထိုး,pu.htui:,2,ပု|ထိုး,pu.|htui:
ပုထုဇဉ်,pu.htu.jany,3,ပု|ထု|ဇဉ်,pu.|htu.|jany
ပုပုရွရွ,pu.pu.rwa.rwa.,4,ပု|ပု|ရွ|ရွ,pu.|pu.|rwa.|rwa.
ပုပျပ်,pu.pyap,2,ပု|ပျပ်,pu.|pyap
ပုရပိုက်,pu.ra.puik,3,ပု|ရ|ပိုက်,pu.|ra.|puik
ပုရပိုက်ခေါက်ရွှေ,pu.ra.puikhkaukhrwe,5,ပု|ရ|ပိုက်|ခေါက်|ရွှေ,pu.|ra.|puik|hkauk|hrwe
ပုရစ်,pu.rac,2,ပု|ရစ်,pu.|rac
ပုရစ်စို့,pu.raccui.,3,ပု|ရစ်|စို့,pu.|rac|cui.
ပုရစ်ဖူး,pu.rachpu:,3,ပု|ရစ်|ဖူး,pu.|rac|hpu:
ပုရာဏ်ကျမ်း,pu.rakkyam:,3,ပု|ရာဏ်|ကျမ်း,pu.|rak|kyam:
ပုရိမဝါ,pu.ri.ma.wa,4,ပု|ရိ|မ|ဝါ,pu.|ri.|ma.|wa
ပုရောဟိတ်,pu.rau:hit,3,ပု|ရော|ဟိတ်,pu.|rau:|hit
ပုရွက်,pu.rwak,2,ပု|ရွက်,pu.|rwak
ပုရွက်ကြောင်း,pu.rwakkraung:,3,ပု|ရွက်|ကြောင်း,pu.|rwak|kraung:
ပုရွက်ဆိတ်,pu.rwakhcit,3,ပု|ရွက်|ဆိတ်,pu.|rwak|hcit
ပုရွက်ပျံ,pu.rwakpyam,3,ပု|ရွက်|ပျံ,pu.|rwak|pyam
ပုလင်း,pu.lang:,2,ပု|လင်း,pu.|lang:
ပုလိပ်,pu.lip',2,ပု|လိပ်,pu.|lip'
ပုလု,pu.lu.,2,ပု|လု,pu.|lu.
ပုလုကွေးလေး,pu.lu.kwe:le:,4,ပု|လု|ကွေး|လေး,pu.|lu.|kwe:|le:
ပုလဲ,pu.lai:,2,ပု|လဲ,pu.|lai:
ပုလဲတစ်မူး,pu.lai:tacmu:,4,ပု|လဲ|တစ်|မူး,pu.|lai:|tac|mu:
ပုလဲပေါက်,pu.lai:pauk,3,ပု|လဲ|ပေါက်,pu.|lai:|pauk
ပုလဲမိ,pu.lai:mi.,3,ပု|လဲ|မိ,pu.|lai:|mi.
ပုလဲသွယ်,pu.lai:swai,3,ပု|လဲ|သွယ်,pu.|lai:|swai
ပုသိမ်ထီး,pu.simhti:,3,ပု|သိမ်|ထီး,pu.|sim|hti:
ပုအိုင့်အိုင့်,pu.uing.uing.,3,ပု|အိုင့်|အိုင့်,pu.|uing.|uing.
ပုဂ္ဂလဓိဋ္ဌာန်,pu.ga.la.dhi.htan,5,ပုဂ်|ဂ|လ|ဓိဋ်|ဌာန်,pu.|ga.|la.|dhi.|htan
ပုဂ္ဂလနာမ်စား,pu.ga.la.namca:,5,ပုဂ်|ဂ|လ|နာမ်|စား,pu.|ga.|la.|nam|ca:
